player_id,game_id,time_end,team,mean,std
2346,11819,2006-04-04 04:02:05,3,32.2705249833,2.66754559036
1863,12068,2006-04-07 06:55:02,4,30.726377842,0.965304052741
2717,13248,2006-04-09 20:30:03,1,26.0440906632,1.84341307041
3505,13619,2006-04-24 01:10:41,2,26.6948517505,1.89588245361
2442,13750,2006-04-12 22:55:10,3,26.396964289,1.66625860812
4223,13932,2006-04-12 22:03:15,2,28.296163665,2.5539311684
2456,13954,2006-04-19 17:30:40,3,29.0527733961,2.00307976813
1068,14028,2006-04-16 01:56:29,2,28.7354256042,1.34704406547
317,9815,2006-03-25 16:45:01,1,27.4909949953,1.76192241425
1478,9782,2006-03-22 02:37:20,1,28.9190477808,1.92614531756
73536,1607017,,3,,
1071,14375,2006-04-19 13:12:01,1,20.4473030327,2.57138698875
4305,14473,2006-04-24 00:56:28,2,28.192760919,3.3507364859
3931,14577,2006-04-20 22:23:05,2,28.8548484538,2.01246744472
2717,14589,2006-04-18 04:13:18,1,26.8016351829,1.45840938075
3525,14933,2006-04-19 15:26:59,3,27.635077847,1.60005933035
1579,14953,2006-04-18 11:36:38,4,30.1023894985,2.60561791331
4573,15692,2006-04-27 12:06:31,1,20.7175466443,4.06535347612
1251,15715,2006-04-27 04:13:52,3,26.2414732756,2.55178127288
4432,15729,2006-04-25 22:34:37,4,32.2693488465,3.05217620784
1155,16010,2006-05-21 03:42:59,1,24.155735531,2.06773930317
3850,16324,2006-04-25 21:58:45,3,24.2530815074,1.84727966566
5131,17473,2006-05-07 09:30:27,5,34.4784962732,5.62798730887
89225,2361726,,2,,
5320,18265,2006-05-03 11:25:43,2,32.2705769727,6.03140134119
4070,18353,2006-05-02 10:05:57,1,28.3121512543,2.37148967423
4858,18822,2006-05-09 09:05:38,3,28.7684657595,3.79076895559
19155,1607700,,4,,
48,29,2006-01-06 22:54:34,2,29.7537050364,6.51023736968
293,248,2006-01-30 07:53:26,1,34.4987241248,5.99151988485
76,122,2006-01-23 23:53:32,2,26.291447533,2.09973476273
67,35,2006-01-21 03:36:15,3,17.5456481552,6.32880575693
382,437,2006-01-24 16:49:13,2,12.4049798846,4.24479216373
